filename	acq_time
eeg/sub-001_ses-0_task-calibration_run-1_eeg.vhdr	2024-10-17T16:04:16.524933Z
eeg/sub-001_ses-0_task-closedloop_run-1_eeg.vhdr	2024-10-17T16:17:12.755036Z
